,phi,rho,te,s
857,1.245,0.008,14868.406613780313,10000.0
858,1.25,0.008,15225.697851159024,10000.0
859,1.255,0.008,15591.80119938245,10000.0
860,1.26,0.008,15967.048290335018,10000.0
861,1.2650000000000001,0.008,16351.748830119326,10000.0
862,1.27,0.008,16746.19943483591,10000.0
863,1.275,0.008,17150.68908390943,10000.0
864,1.28,0.008,17565.502907270104,10000.0
865,1.2850000000000001,0.008,17990.92660131831,10000.0
866,1.29,0.008,18427.2469202355,10000.0
867,1.295,0.008,18874.75387032182,10000.0
868,1.3,0.008,19333.742413989563,10000.0
869,1.305,0.008,19804.513166986904,10000.0
870,1.31,0.008,20287.37179798449,10000.0
871,1.315,0.008,20782.632630308188,10000.0
872,1.32,0.008,21290.61537285726,10000.0
873,1.325,0.008,21811.64878910439,10000.0
874,1.33,0.008,22346.069665191648,10000.0
875,1.335,0.008,22894.221880763624,10000.0
876,1.34,0.008,23456.459541552176,10000.0
877,1.345,0.008,24033.144773797834,10000.0
878,1.35,0.008,24624.649065357422,10000.0
879,1.355,0.008,25231.35341283488,10000.0
880,1.3599999999999999,0.008,25853.64864241026,10000.0
881,1.365,0.008,26491.935321519446,10000.0
882,1.37,0.008,27146.62490650816,10000.0
883,1.375,0.008,27818.13838984128,10000.0
884,1.38,0.008,28506.90880988083,10000.0
885,1.385,0.008,29213.37909401271,10000.0
886,1.3900000000000001,0.008,29938.00363277472,10000.0
887,1.395,0.008,30681.25046869987,10000.0
888,1.4,0.008,31443.5974434575,10000.0
889,1.405,0.008,32225.534931260732,10000.0
890,1.4100000000000001,0.008,33027.56617666881,10000.0
891,1.415,0.008,33850.20919635598,10000.0
892,1.42,0.008,34693.99274083397,10000.0
893,1.425,0.008,35559.45912227673,10000.0
894,1.43,0.008,36447.167317480926,10000.0
895,1.435,0.008,37357.687183093825,10000.0
896,1.44,0.008,38291.60696037983,10000.0
897,1.445,0.008,39249.52630967916,10000.0
898,1.45,0.008,40232.061811745996,10000.0
899,1.455,0.008,41239.84809870551,10000.0
900,1.46,0.008,42273.53030634605,10000.0
901,1.465,0.008,43333.77754271278,10000.0
902,1.47,0.008,44421.27201070783,10000.0
903,1.475,0.008,45536.71254632769,10000.0
904,1.48,0.008,46680.817800683944,10000.0
905,1.4849999999999999,0.008,47854.32557968712,10000.0
906,1.49,0.008,49057.98929518639,10000.0
907,1.495,0.008,50292.58604347604,10000.0
908,1.5,0.008,51558.90937522884,10000.0
909,1.0,0.009000000000000001,4389.0644099208175,10000.0
910,1.005,0.009000000000000001,4485.897105530559,10000.0
911,1.01,0.009000000000000001,4585.193837097881,10000.0
912,1.015,0.009000000000000001,4687.0173059514245,10000.0
913,1.02,0.009000000000000001,4791.431808971276,10000.0
914,1.025,0.009000000000000001,4898.5032791914,10000.0
915,1.03,0.009000000000000001,5008.299327434612,10000.0
916,1.035,0.009000000000000001,5120.889285007801,10000.0
917,1.04,0.009000000000000001,5236.344247483148,10000.0
918,1.045,0.009000000000000001,5354.737119593495,10000.0
919,1.05,0.009000000000000001,5476.1426612706055,10000.0
920,1.055,0.009000000000000001,5600.637534854325,10000.0
921,1.06,0.009000000000000001,5728.300353503628,10000.0
922,1.065,0.009000000000000001,5859.211730839238,10000.0
923,1.07,0.009000000000000001,5993.473240150818,10000.0
924,1.075,0.009000000000000001,6131.180040440031,10000.0
925,1.08,0.009000000000000001,6272.416109304532,10000.0
926,1.085,0.009000000000000001,6417.270185585747,10000.0
927,1.09,0.009000000000000001,6565.833413230333,10000.0
928,1.095,0.009000000000000001,6718.199030291801,10000.0
929,1.1,0.009000000000000001,6874.463427077964,10000.0
930,1.105,0.009000000000000001,7034.725749194077,10000.0
931,1.11,0.009000000000000001,7199.0886044840845,10000.0
932,1.115,0.009000000000000001,7367.657866356166,10000.0
933,1.12,0.009000000000000001,7540.543748124221,10000.0
934,1.125,0.009000000000000001,7717.859797469836,10000.0
935,1.13,0.009000000000000001,7899.726120261089,10000.0
936,1.135,0.009000000000000001,8086.26858009451,10000.0
937,1.1400000000000001,0.009000000000000001,8277.6191984998,10000.0
938,1.145,0.009000000000000001,8473.923230844346,10000.0
939,1.15,0.009000000000000001,8675.342640362205,10000.0
940,1.155,0.009000000000000001,8882.067652377707,10000.0
941,1.16,0.009000000000000001,9094.352278489901,10000.0
942,1.165,0.009000000000000001,9312.61706415901,10000.0
943,1.17,0.009000000000000001,9537.94091866524,10000.0
944,1.175,0.009000000000000001,9779.848109919993,10000.0
945,1.18,0.009000000000000001,11037.980256366223,10000.0
946,1.185,0.009000000000000001,11429.83530729988,10000.0
947,1.19,0.009000000000000001,11771.59506769327,10000.0
948,1.195,0.009000000000000001,12096.349425982216,10000.0
949,1.2,0.009000000000000001,12415.293131356211,10000.0
950,1.205,0.009000000000000001,12733.796159321588,10000.0
