,p_e,phi,rho,te,s
395,0.000221388,1.5,0.2,95871.01749,10000
396,0.000221388,1,0.3,194.5936897,401.1457234
397,0.000221388,1.05,0.3,839.078677,879.5110159
398,0.000221388,1.1,0.3,3043.167934,2262.803563
399,0.000221388,1.15,0.3,7206.390601,4457.178659
400,0.000221388,1.2,0.3,18224.5622,10000
401,0.000221388,1.25,0.3,24205.4644,10000
402,0.000221388,1.3,0.3,31900.0569,10000
403,0.000221388,1.35,0.3,42043.00252,10000
404,0.000221388,1.4,0.3,55419.58422,10000
405,0.000221388,1.45,0.3,73062.87229,10000
406,0.000221388,1.5,0.3,96336.27292,10000
407,0.000221388,1,0.4,194.5936897,401.1457234
408,0.000221388,1.05,0.4,852.2559911,888.1942471
409,0.000221388,1.1,0.4,3056.622789,2266.663003
410,0.000221388,1.15,0.4,7225.123485,4459.381572
411,0.000221388,1.2,0.4,18250.35488,10000
412,0.000221388,1.25,0.4,24244.47761,10000
413,0.000221388,1.3,0.4,31957.58618,10000
414,0.000221388,1.35,0.4,42126.17146,10000
415,0.000221388,1.4,0.4,55538.04571,10000
416,0.000221388,1.45,0.4,73229.8556,10000
417,0.000221388,1.5,0.4,96569.9702,10000
418,0.000221388,1,0.5,194.5936897,401.1457234
419,0.000221388,1.05,0.5,860.0904892,893.3041211
420,0.000221388,1.1,0.5,3064.740822,2268.970553
421,0.000221388,1.15,0.5,7236.472207,4460.705715
422,0.000221388,1.2,0.5,18266.00626,10000
423,0.000221388,1.25,0.5,24268.15414,10000
424,0.000221388,1.3,0.5,31992.51617,10000
425,0.000221388,1.35,0.5,42176.64401,10000
426,0.000221388,1.4,0.5,55609.98898,10000
427,0.000221388,1.45,0.5,73331.30406,10000
428,0.000221388,1.5,0.5,96711.93935,10000
429,0.000221388,1,0.6,194.5936897,401.1457234
430,0.000221388,1.05,0.6,865.3614381,896.7226802
431,0.000221388,1.1,0.6,3070.252562,2270.530337
432,0.000221388,1.15,0.6,7244.209167,4461.614617
433,0.000221388,1.2,0.6,18276.66373,10000
434,0.000221388,1.25,0.6,24284.27374,10000
435,0.000221388,1.3,0.6,32016.3157,10000
436,0.000221388,1.35,0.6,42211.02247,10000
437,0.000221388,1.4,0.6,55658.96367,10000
438,0.000221388,1.45,0.6,73400.38143,10000
439,0.000221388,1.5,0.6,96808.58186,10000
440,0.000221388,1,0.7,194.5936897,401.1457234
441,0.000221388,1.05,0.7,869.2319109,899.2220529
442,0.000221388,1.1,0.7,3074.325895,2271.678524
443,0.000221388,1.15,0.7,7249.936962,4462.284855
444,0.000221388,1.2,0.7,18284.55893,10000
445,0.000221388,1.25,0.7,24296.22746,10000
446,0.000221388,1.3,0.7,32033.94057,10000
447,0.000221388,1.35,0.7,42236.54166,10000
448,0.000221388,1.4,0.7,55695.29803,10000
449,0.000221388,1.45,0.7,73451.63851,10000
450,0.000221388,1.5,0.7,96880.30904,10000
451,0.000221388,1,0.8,194.5936897,401.1457234
452,0.000221388,1.05,0.8,872.3093122,901.2030284
453,0.000221388,1.1,0.8,3077.575756,2272.589184
454,0.000221388,1.15,0.8,7254.512664,4462.813657
455,0.000221388,1.2,0.8,18290.8894,10000
456,0.000221388,1.25,0.8,24305.80357,10000
457,0.000221388,1.3,0.8,32048.09773,10000
458,0.000221388,1.35,0.8,42256.96988,10000
459,0.000221388,1.4,0.8,55724.45008,10000
460,0.000221388,1.45,0.8,73492.72111,10000
461,0.000221388,1.5,0.8,96937.82767,10000
462,0.000221388,1,0.9,194.5936897,401.1457234
463,0.000221388,1.05,0.9,875.0408132,902.9584838
464,0.000221388,1.1,0.9,3080.478061,2273.4052
465,0.000221388,1.15,0.9,7258.605158,4463.29203
466,0.000221388,1.2,0.9,18296.53463,10000
467,0.000221388,1.25,0.9,24314.34137,10000
